################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS PdF GAMIT/GLOBK
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. SNEG
# FILENAME: BASELINES_SNEG_all.txt
#
#
# CREATED: 27-Feb-2019 08:18:50 by sysop@pitondescalumets
# COPYRIGHT: 2019, IPGP
################################################################################
#
year month day hour minute second SNEG-BORG_(cm) SNEG-DERG_(cm) SNEG-DSRG_(cm)
2018 09 05 11 59 00 158751.285998 35996.828880 128105.741917
2018 09 06 11 59 00 158751.200372 35996.805522 128105.711175
2018 09 07 11 59 00 158751.266706 35996.892489 128105.690687
2018 09 08 11 59 00 158751.388261 35996.805307 128105.805623
2018 09 09 11 59 00 158751.302684 35996.737972 128105.741796
2018 09 10 11 59 00 158751.369852 35996.715048 128105.732223
2018 09 11 11 59 00 158751.395487 35996.650882 128105.830640
2018 09 12 11 59 00 158751.609809 35996.745518 128105.971740
2018 09 13 11 59 00 158751.295291 35996.682558 128105.661357
2018 09 14 11 59 00 158751.450213 35996.750056 128105.966328
2018 09 15 11 59 00 158750.386145 35996.505026 128094.415114
2018 09 16 11 59 00 158750.356392 35996.375180 128094.012910
2018 09 17 11 59 00 158750.370720 35996.329231 128093.937250
2018 09 18 11 59 00 158750.253149 35996.236983 128093.833553
2018 09 19 11 59 00 158750.274162 35996.227025 128093.889315
2018 09 20 11 59 00 158750.226174 35996.194729 128093.867627
2018 09 21 11 59 00 158750.126683 35996.171227 128093.859874
2018 09 22 11 59 00 158750.280017 35996.156331 128093.921480
2018 09 23 11 59 00 158750.307243 35996.147437 128094.010328
2018 09 24 11 59 00 158750.287187 35996.146338 128093.961417
2018 09 25 11 59 00 158750.332785 35996.165137 128093.939487
2018 09 26 11 59 00 158750.342772 35996.171410 128094.044446
2018 09 27 11 59 00 158750.352667 35996.196147 128094.060314
2018 09 28 11 59 00 158750.420576 35996.209351 128094.154445
2018 09 29 11 59 00 NaN NaN NaN
2018 09 30 11 59 00 158750.538905 35996.287398 128094.245357
2018 10 01 11 59 00 NaN NaN NaN
2018 10 02 11 59 00 158750.754076 35996.261977 128094.309817
2018 10 04 11 59 00 158750.784175 35996.252466 128094.300404
2018 10 05 11 59 00 158750.781296 35996.321733 128094.344843
2018 10 06 11 59 00 158750.781222 35996.340015 128094.319839
2018 10 07 11 59 00 158750.909861 35996.426218 128094.523477
2018 10 08 11 59 00 158750.932092 35996.387733 128094.414355
2018 10 09 11 59 00 158750.943593 35996.456486 128094.571673
2018 10 10 11 59 00 158751.009994 35996.465582 128094.596914
2018 10 11 11 59 00 158750.919787 35996.512603 128094.611368
2018 10 12 11 59 00 158751.117798 35996.420691 128094.577459
2018 10 13 11 59 00 158751.283578 35996.467055 128094.780565
2018 10 14 11 59 00 158751.210983 35996.348708 128094.650309
2018 10 15 11 59 00 158751.319188 35996.402200 128094.783682
2018 10 16 11 59 00 158751.266159 35996.608034 128094.917977
2018 10 17 11 59 00 158751.491206 35996.498145 128095.053909
2018 10 18 11 59 00 158751.539225 35996.535486 128095.051503
2018 10 19 11 59 00 158751.563210 35996.506742 128094.892875
2018 10 20 11 59 00 158751.618789 35996.473236 128095.113810
2018 10 21 11 59 00 158751.879459 35996.563088 128095.249755
2018 10 22 11 59 00 158751.480075 35996.552036 128095.117405
2018 10 23 11 59 00 158751.807523 35996.589811 128095.296978
2018 10 24 11 59 00 158751.724506 35996.576588 128095.124773
2018 10 25 11 59 00 158751.756854 35996.457547 128095.063297
2018 10 26 11 59 00 158751.732325 35996.570639 128095.140938
2018 10 27 11 59 00 158751.899137 35996.691366 128095.346995
2018 10 28 11 59 00 158751.934246 35996.615609 128095.388605
2018 10 29 11 59 00 158751.923597 35996.622970 128095.295363
2018 10 30 11 59 00 158751.865183 35996.604037 128095.251377
2018 10 31 11 59 00 158751.673083 35996.575998 128095.110942
2018 11 01 11 59 00 158751.843311 35996.657145 128095.197783
2018 11 02 11 59 00 158751.911756 35996.617631 128095.373431
2018 11 03 11 59 00 158751.909532 35996.607356 128095.378610
2018 11 04 11 59 00 158751.859154 35996.565648 128095.359345
2018 11 05 11 59 00 158751.887581 35996.563005 128095.206991
2018 11 06 11 59 00 158751.968960 35996.713749 128095.469694
2018 11 07 11 59 00 158751.840537 35996.712972 128095.394002
2018 11 08 11 59 00 158751.792345 35996.722186 128095.235806
2018 11 09 11 59 00 158751.733054 35996.634242 128095.183020
2018 11 10 11 59 00 158751.431370 35996.652774 128095.082667
2018 11 11 11 59 00 158751.604860 35996.656913 128095.046770
2018 11 12 11 59 00 158751.714517 35996.533716 128094.965445
2018 11 13 11 59 00 158751.492212 35996.639532 128095.084306
2018 11 14 11 59 00 158751.363215 35996.651590 128094.901341
2018 11 15 11 59 00 158751.420796 35996.732662 128095.047761
2018 11 16 11 59 00 158751.525901 35996.620390 128095.009772
2018 11 17 11 59 00 158751.613760 35996.716830 128095.199264
2018 11 18 11 59 00 158751.153449 35996.712839 128094.959480
2018 11 19 11 59 00 158751.843934 35996.712862 128095.373957
2018 11 20 11 59 00 158751.489099 35996.675176 128095.078437
2018 11 21 11 59 00 158751.503571 35996.643210 128094.980458
2018 11 22 11 59 00 158751.306820 35996.628024 128094.933994
2018 11 23 11 59 00 158751.392067 35996.660077 128095.046243
2018 11 24 11 59 00 158751.637263 35996.589932 128095.002764
2018 11 25 11 59 00 158751.732733 35996.523495 128095.001669
2018 11 26 11 59 00 158751.360726 35996.616065 128094.895635
2018 11 27 11 59 00 158751.241661 35996.679702 128094.918839
2018 11 28 11 59 00 158751.364611 35996.580585 128094.905378
2018 11 29 11 59 00 158751.762053 35996.706681 128095.104963
2018 11 30 11 59 00 158751.665046 35996.684823 128095.254857
2018 12 01 11 59 00 158751.562776 35996.603091 128095.118003
2018 12 02 11 59 00 158751.839616 35996.744150 128095.343047
2018 12 03 11 59 00 158752.070926 35996.940095 128095.589025
2018 12 04 11 59 00 158751.871631 35996.816993 128095.375190
2018 12 05 11 59 00 158751.909303 35996.719277 128095.228104
2018 12 06 11 59 00 158751.831481 35996.768793 128095.246590
2018 12 07 11 59 00 158751.971121 35996.710203 128095.392142
2018 12 08 11 59 00 158751.494695 35996.765153 128095.123077
2018 12 09 11 59 00 158751.771103 35996.755509 128095.141768
2018 12 10 11 59 00 158751.595514 35996.860967 128095.164405
2018 12 11 11 59 00 158751.752344 35996.712444 128095.138447
2018 12 12 11 59 00 158751.818905 35996.735082 128095.300395
