################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. PRAG
# FILENAME: BASELINES_PRAG_all.txt
#
#
# CREATED: 22-Apr-2024 02:01:50 by sysop@pitondescalumets
# COPYRIGHT: MMXXIV, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS PRAG-GITG_(cm)
2018 04 23 11 59 00 818627.075230
2018 04 24 11 59 00 818626.493657
2018 04 25 11 59 00 818626.934555
2018 04 26 11 59 00 818626.849535
2018 04 27 11 59 00 818626.980378
2018 04 28 11 59 00 818626.725045
2018 04 29 11 59 00 818626.656595
2018 04 30 11 59 00 818626.529436
2018 05 01 11 59 00 818626.755464
2018 05 02 11 59 00 818626.945111
2018 05 03 11 59 00 818626.496915
2018 05 04 11 59 00 818626.251264
2018 05 05 11 59 00 818626.474013
2018 05 06 11 59 00 818626.437132
2018 05 07 11 59 00 818626.491195
2018 05 13 11 59 00 818626.495685
2018 05 14 11 59 00 818626.510800
2018 05 15 11 59 00 818626.431385
2018 05 16 11 59 00 818626.513616
2018 05 17 11 59 00 818626.826599
2018 05 18 11 59 00 818626.680734
2018 05 21 11 59 00 818626.688175
2018 05 22 11 59 00 818626.637698
2018 05 23 11 59 00 818627.044657
2018 05 24 11 59 00 818626.801125
2018 05 25 11 59 00 818626.797040
2018 05 26 11 59 00 818626.540954
2018 05 27 11 59 00 818626.593317
2018 05 28 11 59 00 818626.637555
2018 05 29 11 59 00 818626.719856
2018 05 30 11 59 00 818626.771131
2018 05 31 11 59 00 818626.688823
2018 06 01 11 59 00 818626.716022
2018 06 02 11 59 00 818626.576357
2018 06 03 11 59 00 818627.345978
2018 06 04 11 59 00 818626.755321
2018 06 05 11 59 00 818626.660547
2018 06 06 11 59 00 818627.096748
2018 06 07 11 59 00 818626.463366
2018 06 08 11 59 00 818626.832377
2018 06 09 11 59 00 818626.532109
2018 06 10 11 59 00 818626.682950
2018 06 11 11 59 00 818626.767562
2018 06 12 11 59 00 818626.792875
2018 06 13 11 59 00 818627.479721
2018 06 14 11 59 00 818627.038007
2018 06 15 11 59 00 818626.852679
2018 06 16 11 59 00 818626.541540
2018 06 17 11 59 00 818626.751655
2018 06 18 11 59 00 818626.797357
2018 06 21 11 59 00 818626.776826
2018 06 22 11 59 00 818626.749927
2018 06 23 11 59 00 818626.821367
2018 06 24 11 59 00 818626.744974
2018 06 25 11 59 00 818626.884318
2018 06 26 11 59 00 818626.613594
2018 06 27 11 59 00 818626.679270
2018 06 28 11 59 00 818626.743388
2018 06 29 11 59 00 818626.569384
2018 06 30 11 59 00 818626.816021
2018 07 01 11 59 00 818626.799807
2018 07 02 11 59 00 818627.112867
2018 07 03 11 59 00 818626.921923
2018 07 04 11 59 00 818626.918941
2018 07 05 11 59 00 818627.344482
2018 07 06 11 59 00 818627.076132
2018 07 07 11 59 00 818627.417805
2018 07 08 11 59 00 818627.125818
2018 07 09 11 59 00 818627.613074
2018 07 10 11 59 00 818627.693064
2018 07 11 11 59 00 818627.201919
2018 07 12 11 59 00 818627.136379
2018 07 13 11 59 00 818626.599273
2018 07 14 11 59 00 818626.644041
2018 07 15 11 59 00 818626.754858
2018 07 16 11 59 00 818626.680884
2018 07 17 11 59 00 818626.734006
2018 07 18 11 59 00 818626.792764
2018 07 22 11 59 00 818627.246219
2018 07 23 11 59 00 818626.998882
2018 07 24 11 59 00 818627.373226
2018 07 25 11 59 00 818627.443760
2018 07 26 11 59 00 818627.020125
2018 07 27 11 59 00 818627.035115
2018 07 28 11 59 00 818627.043417
2018 07 29 11 59 00 818627.060749
2018 07 30 11 59 00 818627.097403
2018 07 31 11 59 00 818627.139226
2018 08 01 11 59 00 818627.175515
2018 08 02 11 59 00 818627.200588
2018 08 03 11 59 00 818627.397386
2018 08 04 11 59 00 818627.225249
2018 08 05 11 59 00 818627.271028
2018 08 06 11 59 00 818627.146406
2018 08 07 11 59 00 818627.179118
2018 08 08 11 59 00 818627.128133
2018 08 09 11 59 00 818627.079862
2018 08 10 11 59 00 818627.159709
2018 08 11 11 59 00 818626.915790
2018 08 12 11 59 00 818627.028576
2018 08 13 11 59 00 818627.317301
2018 08 14 11 59 00 818627.292211
2018 08 15 11 59 00 818627.092475
2018 08 16 11 59 00 818627.132478
2018 08 17 11 59 00 818627.312123
2018 08 18 11 59 00 818627.239012
2018 08 21 11 59 00 818627.157827
2018 08 22 11 59 00 818626.902153
2018 08 23 11 59 00 818627.015514
2018 08 24 11 59 00 818627.341297
2018 08 25 11 59 00 NaN
2018 08 26 11 59 00 NaN
2018 08 27 11 59 00 818627.057709
2018 08 28 11 59 00 818627.480048
2018 09 06 11 59 00 818627.527894
2018 09 07 11 59 00 818627.244770
2018 09 08 11 59 00 818627.343619
2018 09 09 11 59 00 818627.527385
2018 09 10 11 59 00 818627.108162
2018 09 11 11 59 00 818627.247276
2018 09 11 11 59 00 818627.247276
2018 09 12 11 59 00 818627.261308
2018 09 13 11 59 00 818627.318700
2018 09 14 11 59 00 818627.273081
2018 09 15 11 59 00 818626.504460
2018 09 16 11 59 00 818626.268289
2018 09 17 11 59 00 818626.210291
2018 09 18 11 59 00 818626.146215
2018 09 21 11 59 00 818626.071839
2018 09 22 11 59 00 818626.007568
2018 09 23 11 59 00 818626.118309
2018 09 24 11 59 00 818626.029787
2018 09 25 11 59 00 818625.976347
2018 09 26 11 59 00 818625.997447
2018 09 27 11 59 00 818626.123916
2018 09 28 11 59 00 NaN
2018 09 29 11 59 00 NaN
2018 09 30 11 59 00 NaN
2018 10 01 11 59 00 NaN
2018 10 04 11 59 00 818625.965121
2018 10 05 11 59 00 818626.066619
2018 10 06 11 59 00 818625.979170
2018 10 07 11 59 00 818626.037221
2018 10 08 11 59 00 818626.077817
2018 10 09 11 59 00 818626.193287
2018 10 10 11 59 00 818626.516801
2018 10 11 11 59 00 818626.470186
2018 10 12 11 59 00 818626.108895
2018 10 13 11 59 00 818626.048858
2018 10 14 11 59 00 818626.049036
2018 10 15 11 59 00 818626.373202
2018 10 16 11 59 00 818626.161825
2018 10 17 11 59 00 818626.079420
2018 10 18 11 59 00 818626.076332
2018 10 21 11 59 00 818626.520872
2018 10 22 11 59 00 818626.122940
2018 10 23 11 59 00 818625.967161
2018 10 24 11 59 00 818626.172776
2018 10 25 11 59 00 818626.194772
2018 10 26 11 59 00 818626.220625
2018 10 27 11 59 00 818626.208462
2018 10 28 11 59 00 818626.369072
2018 10 29 11 59 00 818626.348973
2018 10 30 11 59 00 818626.276790
2018 10 31 11 59 00 818626.324761
2018 11 01 11 59 00 818626.010273
2018 11 02 11 59 00 818626.349653
2018 11 03 11 59 00 818626.317707
2018 11 04 11 59 00 818626.231377
2018 11 05 11 59 00 818626.189492
2018 11 06 11 59 00 818626.278836
2018 11 07 11 59 00 818626.109261
2018 11 08 11 59 00 818626.237330
2018 11 09 11 59 00 818626.112715
2018 11 10 11 59 00 818626.327197
2018 11 11 11 59 00 818626.170925
2018 11 12 11 59 00 818626.336726
2018 11 13 11 59 00 818626.329407
2018 11 14 11 59 00 818626.127433
2018 11 15 11 59 00 818626.442263
2018 11 16 11 59 00 818625.974810
2018 11 17 11 59 00 818626.100373
2018 11 18 11 59 00 818625.980296
2018 11 21 11 59 00 818626.452798
2018 11 22 11 59 00 818626.143001
2018 11 23 11 59 00 818625.923099
2018 11 24 11 59 00 818626.101621
2018 11 25 11 59 00 818626.272736
2018 11 26 11 59 00 818626.637722
2018 11 27 11 59 00 818626.246635
2018 11 28 11 59 00 818626.016114
2018 11 29 11 59 00 818626.189344
2018 11 30 11 59 00 818626.280878
2018 12 04 11 59 00 818626.218175
2018 12 05 11 59 00 818626.116482
2018 12 06 11 59 00 818626.266630
2018 12 07 11 59 00 818626.209740
2018 12 08 11 59 00 818626.195752
2018 12 09 11 59 00 818626.252665
2018 12 10 11 59 00 818626.439478
2018 12 11 11 59 00 818626.007784
2018 12 12 11 59 00 818626.368010
2018 12 13 11 59 00 818626.432560
2018 12 14 11 59 00 818626.396243
2018 12 15 11 59 00 818626.741778
