################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. FOAG
# FILENAME: BASELINES_FOAG_all.txt
#
#
# CREATED: 11-Jan-2022 09:20:47 by sysop@pitondescalumets
# COPYRIGHT: 2022, (c) OVPF-IPGP
################################################################################
#
year month day hour minute second FOAG-ENOG_(cm) FOAG-FJAG_(cm)
2020 04 21 11 59 00 325864.890267 399639.514070
2020 04 22 11 59 00 325864.922167 399639.336667
2020 04 23 11 59 00 325865.189130 399639.588349
2020 04 24 11 59 00 325865.220729 399639.357065
2020 04 25 11 59 00 325865.649571 399639.639254
2020 04 26 11 59 00 325865.534878 399639.434467
2020 04 27 11 59 00 325865.930714 399639.833984
2020 04 28 11 59 00 325865.743563 399639.747429
2020 04 29 11 59 00 325865.602708 399639.681033
2020 04 30 11 59 00 325865.364587 399639.643754
2020 05 01 11 59 00 325865.558007 399639.643238
2020 05 02 11 59 00 325865.445493 399639.569724
2020 05 03 11 59 00 325865.401234 399639.157329
2020 05 04 11 59 00 325865.751042 399639.715269
2020 05 05 11 59 00 325865.514658 399639.509240
2020 05 06 11 59 00 325865.366654 399639.509114
2020 05 07 11 59 00 325865.346182 399639.364050
2020 05 08 11 59 00 325865.302268 399639.418444
2020 05 09 11 59 00 325865.260565 399638.886907
2020 05 10 11 59 00 325865.488567 399639.447340
2020 05 11 11 59 00 325865.217979 399639.233827
2020 05 12 11 59 00 325865.245820 399639.459083
2020 05 13 11 59 00 325865.369288 399639.298263
2020 05 14 11 59 00 325865.240881 399639.290069
2020 05 15 11 59 00 325865.195135 399639.429541
2020 05 16 11 59 00 325865.314331 399639.424746
2020 05 17 11 59 00 325865.180429 399639.333229
2020 05 18 11 59 00 325865.210677 399639.069194
2020 05 19 11 59 00 325865.256920 399639.091453
2020 05 20 11 59 00 325865.182223 399639.007104
2020 05 21 11 59 00 325864.978925 399639.201661
2020 05 22 11 59 00 325865.008269 399639.005702
2020 05 23 11 59 00 325865.311128 399638.848225
2020 05 24 11 59 00 325865.018517 399638.912134
2020 05 25 11 59 00 325865.277893 399639.136507
2020 05 26 11 59 00 325865.312985 399639.050020
2020 05 27 11 59 00 325865.144697 399638.991558
2020 05 28 11 59 00 325865.156471 399638.927016
2020 05 29 11 59 00 325865.276770 399639.016524
2020 05 30 11 59 00 325865.089835 399638.785111
2020 05 31 11 59 00 325865.213507 399639.082621
2020 06 01 11 59 00 325865.208210 399638.959688
2020 06 02 11 59 00 325865.324248 399639.034280
2020 06 03 11 59 00 325865.148513 399638.880981
2020 06 04 11 59 00 325865.264086 399638.892833
2020 06 05 11 59 00 325865.253755 399639.002556
2020 06 06 11 59 00 325865.599198 399638.858504
2020 06 07 11 59 00 325865.742825 399639.442201
2020 06 08 11 59 00 325864.911351 399639.058121
2020 06 09 11 59 00 325865.048363 399638.981455
2020 06 10 11 59 00 325865.150297 399639.372227
2020 06 11 11 59 00 325865.297265 399639.160133
2020 06 12 11 59 00 325865.011119 399638.940335
2020 06 13 11 59 00 325865.263329 399638.913515
2020 06 14 11 59 00 325865.258066 399638.944349
2020 06 15 11 59 00 325865.081463 399638.856108
2020 06 16 11 59 00 325865.296451 399638.932415
2020 06 17 11 59 00 325865.369434 399639.335809
2020 06 18 11 59 00 325865.879213 399639.651755
2020 06 19 11 59 00 325865.762977 399639.872515
2020 06 20 11 59 00 325865.994096 399640.025360
2020 06 21 11 59 00 325866.169487 399640.428094
2020 06 22 11 59 00 325866.426121 399640.624713
2020 06 23 11 59 00 325866.378086 399640.869887
2020 06 24 11 59 00 325866.550425 399641.167952
2020 06 25 11 59 00 325866.638194 399641.508754
2020 06 26 11 59 00 325866.708651 399641.497238
2020 06 27 11 59 00 325867.066073 399641.501545
2020 06 28 11 59 00 325867.242267 399641.556379
2020 06 29 11 59 00 325867.110084 399641.989437
2020 06 30 11 59 00 325867.327357 399642.089597
2020 07 01 11 59 00 325867.683485 399642.167017
2020 07 02 11 59 00 325867.341497 399642.294439
2020 07 03 11 59 00 325867.487247 399642.416048
2020 07 04 11 59 00 325867.535197 399642.571139
2020 07 05 11 59 00 325867.541442 399642.515609
2020 07 06 11 59 00 325867.737980 399642.713106
2020 07 07 11 59 00 325867.902056 399642.629200
2020 07 08 11 59 00 325867.769520 399642.650451
2020 07 09 11 59 00 325867.521551 399642.884182
2020 07 10 11 59 00 325867.751425 399643.015894
2020 07 11 11 59 00 325867.648129 399643.018551
2020 07 12 11 59 00 325867.830819 399643.118717
2020 07 13 11 59 00 325867.780280 399642.901376
2020 07 14 11 59 00 325867.910166 399642.995035
2020 07 15 11 59 00 325867.507130 399643.026630
2020 07 16 11 59 00 325867.811567 399642.774093
2020 07 17 11 59 00 325868.280443 399642.929726
2020 07 18 11 59 00 325867.989061 399643.002793
2020 07 19 11 59 00 325867.758252 399643.007286
2020 07 20 11 59 00 325867.701897 399642.960548
2020 07 21 11 59 00 325867.855366 399643.027375
2020 07 22 11 59 00 325867.910802 399643.029795
2020 07 23 11 59 00 325867.891275 399642.856922
2020 07 24 11 59 00 325867.995108 399642.989371
2020 07 25 11 59 00 325867.808549 399642.974374
2020 07 26 11 59 00 325867.988618 399643.002876
2020 07 27 11 59 00 325867.940363 399643.052225
2020 07 28 11 59 00 325867.909283 399643.132048
2020 07 29 11 59 00 325867.872728 399643.127266
2020 07 30 11 59 00 325868.004300 399642.787331
2020 07 31 11 59 00 325867.947358 399643.127565
2020 08 01 11 59 00 325867.787954 399642.906366
2020 08 02 11 59 00 325867.729914 399643.044245
2020 08 03 11 59 00 325867.828244 399643.120119
2020 08 04 11 59 00 325867.798706 399643.162320
2020 08 05 11 59 00 325867.919876 399643.176410
2020 08 06 11 59 00 325867.869009 399643.250824
2020 08 07 11 59 00 325867.931479 399643.245886
2020 08 08 11 59 00 325867.989794 399643.332453
2020 08 09 11 59 00 325867.992657 399643.180698
2020 08 10 11 59 00 325867.805052 399643.158450
2020 08 11 11 59 00 325867.958381 399643.138441
2020 08 12 11 59 00 325867.923137 399643.190103
2020 08 13 11 59 00 325868.054356 399643.091984
2020 08 14 11 59 00 325867.932409 399642.941331
2020 08 15 11 59 00 325867.856114 399643.325589
2020 08 16 11 59 00 325867.893660 399643.240400
2020 08 17 11 59 00 325867.919977 399643.301054
2020 08 18 11 59 00 325867.837417 399643.262847
2020 08 19 11 59 00 325868.051122 399643.213030
2020 08 20 11 59 00 325868.099829 399643.407112
2020 08 21 11 59 00 325867.928807 399643.090503
2020 08 22 11 59 00 325867.930922 399643.188370
2020 08 23 11 59 00 325867.824266 399643.211849
2020 08 24 11 59 00 325867.905064 399643.171158
2020 08 25 11 59 00 325867.977721 399643.189871
2020 08 26 11 59 00 325867.929744 399643.196521
2020 08 27 11 59 00 325867.813018 399643.235443
2020 08 28 11 59 00 325867.870135 399643.214071
2020 08 29 11 59 00 325867.734258 399643.159298
2020 08 30 11 59 00 325867.772478 399643.250121
2020 08 31 11 59 00 325867.469664 399643.250703
2020 09 01 11 59 00 325867.869645 399643.099209
2020 09 02 11 59 00 325867.561670 399642.721901
2020 09 03 11 59 00 325867.891985 399643.151382
2020 09 04 11 59 00 325868.241682 399643.609517
2020 09 05 11 59 00 325868.207029 399642.527492
2020 09 06 11 59 00 325867.917386 399643.109382
2020 09 07 11 59 00 325867.727768 399642.994067
2020 09 08 11 59 00 325867.789492 399643.130269
2020 09 09 11 59 00 325867.865980 399643.163686
2020 09 10 11 59 00 325867.554107 399643.148479
2020 09 11 11 59 00 325868.039047 399643.138683
2020 09 12 11 59 00 325867.902103 399643.011580
2020 09 13 11 59 00 325867.697569 399642.864619
2020 09 14 11 59 00 325868.156240 399643.258703
2020 09 15 11 59 00 325867.735031 399643.156751
2020 09 16 11 59 00 325867.804607 399643.130488
2020 09 17 11 59 00 325867.789244 399643.072119
2020 09 18 11 59 00 325867.785341 399643.163227
2020 09 19 11 59 00 325867.724874 399643.161878
2020 09 20 11 59 00 325867.824877 399643.197222
2020 09 21 11 59 00 325867.790766 399643.335480
2020 09 22 11 59 00 325867.952988 399643.448531
2020 09 23 11 59 00 325868.073089 399643.484882
2020 09 24 11 59 00 325868.089274 399643.517315
2020 09 25 11 59 00 325868.185702 399643.586460
2020 09 26 11 59 00 325868.069473 399643.523109
2020 09 27 11 59 00 325868.080590 399643.559757
2020 09 28 11 59 00 325867.271397 399644.283493
2020 09 29 11 59 00 325865.806523 399642.990436
2020 09 30 11 59 00 325865.682626 399642.910622
2020 10 01 11 59 00 325865.738466 399642.841676
2020 10 02 11 59 00 325865.813745 399643.404133
2020 10 03 11 59 00 325865.983233 399643.830711
2020 10 04 11 59 00 325866.058380 399643.743238
2020 10 05 11 59 00 325866.280534 399643.800057
2020 10 06 11 59 00 325866.396794 399643.955459
2020 10 07 11 59 00 325866.253546 399644.058108
2020 10 08 11 59 00 325866.065685 399644.034201
2020 10 09 11 59 00 325866.896283 399645.013504
2020 10 10 11 59 00 325867.186570 399645.186575
2020 10 11 11 59 00 325867.093580 399645.258733
2020 10 12 11 59 00 325867.211329 399645.633251
2020 10 14 11 59 00 325867.905168 399645.927279
2020 10 15 11 59 00 325867.699623 399646.358440
2020 10 16 11 59 00 325867.844256 399646.562341
2020 10 17 11 59 00 325868.113106 399646.893542
2020 10 18 11 59 00 325868.400542 399647.139536
2020 10 19 11 59 00 325868.234037 399647.174378
2020 10 20 11 59 00 325868.421581 399647.380396
2020 10 21 11 59 00 325868.622818 399647.602079
2020 10 22 11 59 00 325868.672469 399647.654817
2020 10 23 11 59 00 325868.636147 399647.709890
