################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS PdF GAMIT/GLOBK
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. SNEG
# FILENAME: BASELINES_SFR0,SNEG_all.txt
#
#
# CREATED: 21-Mar-2020 08:42:13 by sysop@pitondescalumets
# COPYRIGHT: 2020, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS SNEG-BORG_(cm) SNEG-DERG_(cm) SNEG-DSRG_(cm)
2005 08 02 11 59 00 158571.956710 NaN 128037.979751
2005 08 03 11 59 00 158572.105132 NaN 128037.639550
2005 08 04 11 59 00 158572.239170 35997.615749 128037.415315
2005 08 05 11 59 00 158572.229011 35997.735921 128037.551631
2005 08 06 11 59 00 158572.330797 35997.763915 128037.703047
2005 08 07 11 59 00 158572.454999 35997.769697 128037.803822
2005 08 08 11 59 00 158572.360537 35998.040901 128038.147694
2005 08 09 11 59 00 158572.529717 35998.084204 128038.266506
2005 08 10 11 59 00 158572.601727 35997.948837 128038.241450
2005 08 11 11 59 00 158572.647908 35998.123757 128038.332372
2005 08 12 11 59 00 158572.580118 35998.124199 128038.665925
2005 08 13 11 59 00 158572.404964 35998.160206 128038.664095
2005 08 19 11 59 00 158573.046011 35998.108252 128038.545209
2005 08 20 11 59 00 158573.235057 35998.014034 128038.602537
2005 08 21 11 59 00 158573.317871 35998.107822 128038.881787
2005 08 22 11 59 00 158573.245324 35998.262002 128038.697596
2005 08 23 11 59 00 158573.317346 35998.139718 128038.737669
2005 08 24 11 59 00 158573.250761 35998.107779 128038.770112
2005 08 25 11 59 00 158573.342995 35997.993306 128038.948310
2005 08 26 11 59 00 158573.209603 35998.385565 128039.340308
2005 08 27 11 59 00 158573.414054 35998.460764 128039.494669
