################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS PdF GAMIT/GLOBK
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. FJAG
# FILENAME: BASELINES_FJAG_all.txt
#
#
# CREATED: 10-Apr-2020 08:42:40 by sysop@pitondescalumets
# COPYRIGHT: 2020, (c) OVPF-IPGP
################################################################################
#
year month day hour minute second FJAG-FERG_(cm) FJAG-FOAG_(cm)
2010 01 09 11 59 00 142045.327769 NaN
2010 01 10 11 59 00 142045.378873 NaN
2010 01 11 11 59 00 142045.457225 NaN
2010 01 12 11 59 00 142045.467453 NaN
2010 01 13 11 59 00 142045.531195 NaN
2010 01 19 11 59 00 142045.692400 NaN
2010 01 20 11 59 00 142045.905781 NaN
2010 01 21 11 59 00 142045.817541 NaN
2010 01 22 11 59 00 142045.873973 NaN
2010 01 23 11 59 00 142045.892060 NaN
2010 01 24 11 59 00 142045.854281 NaN
2010 01 25 11 59 00 142046.001232 NaN
2010 01 26 11 59 00 142045.882909 NaN
2010 01 27 11 59 00 142046.004676 NaN
2010 01 28 11 59 00 142045.601163 NaN
2010 01 29 11 59 00 142045.373029 NaN
2010 01 30 11 59 00 142046.252807 NaN
2010 01 31 11 59 00 142046.064299 NaN
2010 02 01 11 59 00 142046.019128 NaN
2010 02 02 11 59 00 142046.081030 NaN
2010 02 03 11 59 00 142046.092858 NaN
2010 02 04 11 59 00 142046.042724 NaN
2010 02 05 11 59 00 142046.092845 NaN
2010 02 06 11 59 00 142045.893060 NaN
2010 02 07 11 59 00 142045.910768 NaN
2010 02 08 11 59 00 142045.771496 NaN
2010 02 09 11 59 00 142046.140351 NaN
2010 02 09 11 59 00 142046.140351 NaN
2010 02 10 11 59 00 142046.065222 NaN
2010 02 11 11 59 00 142045.914767 NaN
2010 02 12 11 59 00 142046.653806 NaN
2010 02 13 11 59 00 142046.030536 NaN
2010 02 20 11 59 00 142045.729306 NaN
2010 02 21 11 59 00 142045.754330 NaN
2010 02 22 11 59 00 142045.982508 NaN
2010 02 23 11 59 00 142045.899964 NaN
2010 02 24 11 59 00 142046.073533 NaN
2010 02 25 11 59 00 142045.962202 NaN
2010 02 26 11 59 00 142045.986902 NaN
2010 02 27 11 59 00 142045.989275 NaN
2010 02 28 11 59 00 142045.892253 NaN
2010 03 01 11 59 00 142046.064980 NaN
2010 03 02 11 59 00 142045.969825 NaN
2010 03 03 11 59 00 142045.870304 NaN
2010 03 04 11 59 00 142045.856528 NaN
2010 03 05 11 59 00 142045.946822 NaN
2010 03 06 11 59 00 142046.177613 NaN
2010 03 07 11 59 00 142046.277426 NaN
2010 03 08 11 59 00 142046.132672 NaN
2010 03 09 11 59 00 142045.801875 NaN
2010 03 10 11 59 00 142046.091471 NaN
2010 03 11 11 59 00 142045.976449 NaN
2010 03 12 11 59 00 142045.886924 NaN
2010 03 13 11 59 00 142046.077454 NaN
2010 03 19 11 59 00 142045.915019 NaN
2010 03 20 11 59 00 142045.772347 NaN
2010 03 21 11 59 00 142045.862569 NaN
2010 03 22 11 59 00 142045.833271 NaN
2010 03 23 11 59 00 142045.873934 NaN
2010 03 24 11 59 00 142045.898195 NaN
2010 03 25 11 59 00 142045.922231 NaN
2010 03 26 11 59 00 142045.429900 NaN
2010 03 27 11 59 00 142045.843630 NaN
2010 03 28 11 59 00 142045.456803 NaN
2010 03 29 11 59 00 142045.582827 NaN
2010 03 30 11 59 00 142045.740450 NaN
2010 03 31 11 59 00 142045.641209 NaN
2010 04 01 11 59 00 142045.776883 NaN
2010 04 02 11 59 00 142045.463542 NaN
2010 04 03 11 59 00 142045.514745 NaN
2010 04 04 11 59 00 142045.712932 NaN
2010 04 05 11 59 00 142045.697283 NaN
2010 04 06 11 59 00 142045.613020 NaN
2010 04 07 11 59 00 142045.709120 NaN
2010 04 08 11 59 00 142045.652375 NaN
2010 04 09 11 59 00 142045.799705 NaN
2010 04 10 11 59 00 142045.679015 NaN
2010 04 11 11 59 00 142045.559824 NaN
