################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.GIPSYX} GNSS GIPSYX PdF OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. BOMG
# FILENAME: BASELINES_BOMG_all.txt
#
#
# CREATED: 19-Jan-2022 08:52:40 by sysop@pitondescalumets
# COPYRIGHT: 2022, OVPF-IPGP
################################################################################
#
year month day hour minute second BOMG-BORG_(cm) BOMG-DERG_(cm) BOMG-DSRG_(cm)
2020 08 22 23 55 00 78404.951564 118985.409161 125325.293170
2020 08 23 23 55 00 78404.936405 118985.334019 125325.344267
2020 08 24 23 55 00 78404.867289 118985.335175 125325.273751
2020 08 25 23 55 00 78404.899643 118985.315640 125325.281913
2020 08 26 23 55 00 78404.833409 118985.247122 125325.035174
2020 08 27 23 55 00 78404.789097 118985.285934 125325.124698
2020 08 28 23 55 00 78404.853727 118985.283717 125325.181603
2020 08 29 23 55 00 78404.843424 118985.215166 125325.157523
2020 08 30 23 55 00 78404.813501 118985.259594 125325.213728
2020 08 31 23 55 00 78404.900441 118985.351371 125325.234243
2020 09 01 23 55 00 78404.888396 118985.277515 125325.181159
2020 09 02 23 55 00 78404.949016 118985.367994 125325.249505
2020 09 03 23 55 00 78405.101247 118985.257089 125325.390072
2020 09 04 23 55 00 78405.144331 118985.320670 125325.429945
2020 09 05 23 55 00 78405.018448 118985.423215 125325.354567
2020 09 06 23 55 00 78404.953576 118985.323033 125325.257522
2020 09 07 23 55 00 78404.925494 118985.217796 125325.186329
2020 09 08 23 55 00 78405.059715 118985.222402 125325.229890
2020 09 09 23 55 00 78404.888526 118985.209849 125325.153468
2020 09 10 23 55 00 78404.823009 118985.218006 125325.087752
2020 09 11 23 55 00 78404.891597 118985.311169 125325.161770
2020 09 12 23 55 00 78404.766349 118985.214253 125324.991187
2020 09 13 23 55 00 78404.922994 118985.340723 125325.144601
2020 09 14 23 55 00 78404.851353 118985.262500 125325.207391
2020 09 15 23 55 00 78404.690799 118985.270423 125325.082801
2020 09 16 23 55 00 78404.794043 118985.173130 125325.086547
2020 09 17 23 55 00 78404.748216 118985.273432 125325.036441
2020 09 18 23 55 00 78404.888370 118985.294987 125325.104976
2020 09 19 23 55 00 78404.850559 118985.240519 125325.109432
2020 09 20 23 55 00 78404.754910 118985.302315 125325.119539
2020 09 21 23 55 00 78404.807009 118985.364984 125325.239126
2020 09 22 23 55 00 78404.861273 118985.452270 125325.259981
2020 09 23 23 55 00 78404.884481 118985.477692 125325.267268
2020 09 24 23 55 00 78404.925346 118985.572915 125325.362392
2020 09 25 23 55 00 78405.012571 118985.467236 125325.261698
2020 09 26 23 55 00 78404.893892 118985.633902 125325.341610
2020 09 27 23 55 00 78404.840981 118985.637746 125325.457337
2020 09 28 23 55 00 78404.775850 118987.205736 125327.760316
2020 09 29 23 55 00 78404.041265 118987.834033 125327.934150
2020 09 30 23 55 00 78404.038657 118988.054818 125327.701583
2020 10 01 23 55 00 78404.018906 118988.576632 125327.820708
2020 10 02 23 55 00 78404.280347 118988.858000 125328.049033
2020 10 03 23 55 00 78404.261786 118988.909486 125328.051686
2020 10 04 23 55 00 78404.240016 118989.121908 125328.248771
2020 10 05 23 55 00 78404.297096 118989.283938 125328.336937
2020 10 06 23 55 00 78404.299736 118989.585282 125328.471411
2020 10 07 23 55 00 78404.055351 118989.989970 125328.767471
2020 10 08 23 55 00 78404.321289 118990.025762 125328.844955
2020 10 09 23 55 00 78404.527654 118990.355497 125328.965009
