################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.GIPSYX} GNSS GIPSYX PdF OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. SNEG
# FILENAME: BASELINES_SNEG_all.txt
#
#
# CREATED: 01-Feb-2024 13:08:01 by sysop@pitondescalumets
# COPYRIGHT: MMXXIV, OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS SNEG-BORG_(cm)_gipsyx SNEG-DERG_(cm)_gipsyx SNEG-DSRG_(cm)_gipsyx
2007 07 16 23 55 00 NaN 41612.403255 NaN
2007 07 17 23 55 00 NaN 41612.418368 NaN
2007 07 18 23 55 00 NaN 41612.349430 NaN
2007 07 19 23 55 00 NaN 41612.318286 NaN
2007 07 20 23 55 00 NaN 41612.224971 NaN
2007 07 21 23 55 00 NaN 41612.355960 NaN
2007 07 22 23 55 00 NaN 41612.190104 NaN
2007 07 23 23 55 00 NaN 41612.218026 NaN
2007 07 24 23 55 00 NaN 41612.209622 NaN
2007 07 25 23 55 00 NaN 41612.064423 NaN
2007 07 26 23 55 00 NaN 41611.869373 NaN
2007 07 27 23 55 00 NaN 41611.883130 NaN
2007 07 28 23 55 00 NaN 41611.805324 NaN
2007 07 29 23 55 00 NaN 41611.875747 NaN
2007 07 30 23 55 00 NaN 41611.869304 NaN
2007 07 31 23 55 00 NaN 41611.999556 NaN
2007 08 01 23 55 00 NaN 41611.824022 NaN
2007 08 02 23 55 00 NaN 41612.035000 NaN
2007 08 03 23 55 00 NaN 41611.937379 NaN
2007 08 04 23 55 00 NaN 41611.930307 NaN
2007 08 05 23 55 00 NaN 41611.945362 NaN
2007 08 06 23 55 00 NaN 41611.913192 NaN
2007 08 07 23 55 00 NaN 41611.853004 NaN
2007 08 08 23 55 00 NaN 41612.030777 NaN
2007 08 09 23 55 00 NaN 41612.086461 NaN
2007 08 10 23 55 00 NaN 41612.095676 NaN
2007 08 11 23 55 00 NaN 41611.980803 NaN
2007 08 12 23 55 00 NaN 41611.697262 NaN
2007 08 13 23 55 00 NaN 41611.791926 NaN
2007 08 14 23 55 00 NaN 41611.845250 NaN
2007 08 15 23 55 00 NaN 41611.756514 NaN
