################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. BOMG
# FILENAME: BASELINES_BOMG_all.txt
#
#
# CREATED: 10-Jan-2024 13:34:35 by sysop@pitondescalumets
# COPYRIGHT: MMXXIV, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS BOMG-BORG_(cm) BOMG-DERG_(cm) BOMG-DSRG_(cm) BOMG-SNEG_(cm)
2014 07 26 11 59 00 88074.202704 107973.485081 112041.985205 90449.560023
2014 07 27 11 59 00 88074.328561 107973.535287 112041.825237 90449.683508
2014 07 29 11 59 00 88074.157138 107973.749934 112041.795892 90450.087855
2014 07 30 11 59 00 88074.298856 107973.539906 112041.866450 90449.774947
2014 07 31 11 59 00 88074.167843 107973.602286 112041.825958 90450.042942
2014 08 01 11 59 00 88074.302571 107973.575300 112041.756749 90450.060943
2014 08 02 11 59 00 88074.170255 107973.471348 112041.792926 90449.953161
2014 08 03 11 59 00 88074.315931 107973.735525 112041.976578 90449.900293
2014 08 04 11 59 00 88074.285937 107973.539231 112041.857693 90449.909435
2014 08 05 11 59 00 88074.208480 107973.596613 112041.903543 90449.863302
2014 08 06 11 59 00 88074.244907 107973.652181 112041.901756 90449.869262
2014 08 07 11 59 00 88074.404859 107973.573719 112041.917839 90449.593943
2014 08 08 11 59 00 88074.392541 107973.680717 112041.942971 90449.793605
2014 08 09 11 59 00 88074.256912 107973.668596 112041.878262 90449.911044
2014 08 10 11 59 00 88074.142605 107973.730636 112041.797842 90449.972608
2014 08 11 11 59 00 88074.126623 107973.830286 112041.817570 90450.112777
2014 08 12 11 59 00 88074.385605 107973.654273 112042.024514 90449.639936
2014 08 13 11 59 00 88074.383610 107973.635960 112041.948110 90449.727489
2014 08 14 11 59 00 88074.325193 107973.575827 112041.886931 90449.872631
2014 08 21 11 59 00 88074.243477 107973.784537 112041.944564 90450.130744
2014 08 22 11 59 00 88074.295138 107973.791589 112041.837078 90450.053243
2014 08 23 11 59 00 88074.252483 107974.036747 112042.176504 90450.266365
2014 08 24 11 59 00 88074.124205 107973.746174 112041.906040 90450.160298
2014 08 25 11 59 00 88074.308825 107973.919853 112042.035720 90450.289438
2014 08 26 11 59 00 88074.385526 107973.952001 112041.969667 90450.405157
2014 08 27 11 59 00 88074.311359 107973.998331 112041.986266 90450.507383
2014 08 28 11 59 00 88074.197967 107973.775555 112041.833711 90450.178310
2014 08 29 11 59 00 88074.230613 107973.845096 112041.900102 90450.065371
2014 08 30 11 59 00 88074.218834 107973.786389 112041.961104 90449.898357
2014 08 31 11 59 00 88074.339929 107973.647500 112041.913763 90449.932591
2014 09 01 11 59 00 88074.190724 107973.821031 112041.945908 90450.042327
2014 09 03 11 59 00 88074.181830 107973.823536 112041.956717 90450.035111
2014 09 04 11 59 00 88074.371268 107973.905950 112042.079282 90449.997826
2014 09 05 11 59 00 88074.382217 107973.887016 112042.114294 90449.958794
2014 09 06 11 59 00 88074.373919 107973.877708 112042.180613 90449.911937
2014 09 07 11 59 00 88074.336694 107973.766850 112042.025593 90449.733472
2014 09 08 11 59 00 88074.356102 107973.691869 112041.965476 90449.925080
2014 09 09 11 59 00 88074.249338 107973.717646 112041.878219 90450.153807
2014 09 10 11 59 00 88074.262240 107973.843104 112041.965283 90450.223989
2014 09 11 11 59 00 88074.250481 107973.844119 112041.942070 90450.188555
2014 09 12 11 59 00 88074.273939 107973.880064 112042.015918 90450.211298
2014 09 13 11 59 00 88074.179727 107973.983899 112041.995036 90450.298851
2014 09 14 11 59 00 88074.257729 107973.901508 112041.969048 90450.220659
2014 09 21 11 59 00 88074.217253 107973.949404 112042.077199 90450.241721
2014 09 22 11 59 00 88074.386376 107973.976412 112042.240193 90450.316721
2014 09 23 11 59 00 88074.339223 107973.717700 112041.953840 90450.001205
2014 09 24 11 59 00 88074.423445 107973.821108 112042.188245 90449.981753
2014 09 25 11 59 00 88074.416166 107973.807359 112042.102171 90449.964172
2014 09 26 11 59 00 88074.450713 107973.683428 112042.072832 90449.695081
2014 09 27 11 59 00 88074.203656 107973.828750 112042.047947 90450.050427
2014 09 28 11 59 00 88074.308266 107973.682204 112041.907309 90450.117363
2014 09 29 11 59 00 88074.255354 107973.746956 112041.835247 90450.157073
2014 09 30 11 59 00 88074.223384 107973.783614 112041.950884 90450.112559
2014 10 01 11 59 00 88074.192702 107973.819621 112041.967246 90450.220820
2014 10 02 11 59 00 88074.219334 107973.918147 112042.040459 90450.307206
2014 10 03 11 59 00 88074.224102 107973.844041 112041.943487 90450.099043
2014 10 04 11 59 00 88074.263224 107973.912203 112042.082441 90450.256121
2014 10 05 11 59 00 88074.287136 107973.857743 112042.080847 90450.259934
2014 10 06 11 59 00 88074.392493 107973.730340 112042.043178 90450.005808
2014 10 07 11 59 00 88074.445394 107973.723705 112042.053604 90449.958543
2014 10 08 11 59 00 88074.686752 107973.807910 112042.092455 90450.134318
2014 10 09 11 59 00 88074.525486 107973.824534 112042.085426 90450.243282
2014 10 10 11 59 00 88074.180905 107973.848428 112041.922193 90450.237329
2014 10 11 11 59 00 88074.183010 107973.784521 112041.828484 90450.155309
2014 10 12 11 59 00 88074.276032 107973.659311 112041.840122 90450.045707
2014 10 13 11 59 00 88074.207378 107973.876607 112041.987314 90450.205610
2014 10 14 11 59 00 88074.238801 107973.768873 112041.812581 90450.135877
2014 10 21 11 59 00 88074.254503 107973.810258 112042.027392 90450.105062
2014 10 22 11 59 00 88074.310341 107973.703641 112041.870482 90449.978698
2014 10 23 11 59 00 88074.459234 107973.748909 112042.002275 90450.005945
2014 10 24 11 59 00 88074.170716 107973.551948 112041.808891 90449.896777
2014 10 25 11 59 00 88074.209948 107973.719079 112041.812063 90450.057567
2014 10 26 11 59 00 88074.278352 107973.642462 112041.822593 90449.974600
2014 10 27 11 59 00 88074.313488 107973.665216 112041.715003 90449.987732
2014 10 28 11 59 00 88074.407996 107973.766812 112041.950961 90449.904784
2014 10 29 11 59 00 88074.272170 107973.667851 112041.765580 90450.051201
2014 10 30 11 59 00 88074.369004 107973.655086 112041.836489 90449.880566
2014 10 31 11 59 00 88074.366825 107973.607323 112041.841068 90449.828898
2014 11 01 11 59 00 88074.280409 107973.736641 112041.895437 90450.153209
2014 11 02 11 59 00 88074.198459 107973.719443 112041.790002 90450.121488
2014 11 03 11 59 00 88074.389406 107973.750630 112041.901536 90450.215370
2014 11 04 11 59 00 88074.696144 107973.578717 112042.085949 90449.785371
2014 11 05 11 59 00 88074.368653 107973.530473 112041.825298 90449.828869
2014 11 06 11 59 00 88074.221278 107973.622994 112041.741997 90450.027981
2014 11 07 11 59 00 88074.391654 107973.959719 112041.999335 90450.246297
2014 11 08 11 59 00 88074.332578 107973.799602 112041.920526 90450.204292
2014 11 09 11 59 00 88074.226526 107973.669183 112041.689619 90450.032947
2014 11 10 11 59 00 88074.357736 107973.912319 112041.978884 90450.260140
2014 11 11 11 59 00 88074.444701 107973.919751 112041.983726 90450.212584
2014 11 12 11 59 00 88074.523986 107973.949015 112041.941111 90449.994822
2014 11 13 11 59 00 88074.501822 107973.681095 112041.948910 90449.898410
2014 11 14 11 59 00 88074.332972 107973.751241 112041.878766 90450.146511
2014 11 21 11 59 00 88074.314072 107973.646057 112041.795320 90450.029015
2014 11 22 11 59 00 88074.265899 107973.759883 112041.818428 90450.166287
2014 11 24 11 59 00 88074.216019 107973.954170 112041.961842 90450.386745
2014 11 25 11 59 00 88074.225506 107973.727077 112041.753780 90450.196929
2014 11 26 11 59 00 88074.154759 107973.770579 112041.721647 90450.175266
2014 11 27 11 59 00 88074.397600 107973.654978 112041.961843 90450.056069
2014 11 28 11 59 00 88074.384079 107973.886194 112041.937226 90450.448121
2014 11 29 11 59 00 88074.281919 107973.717033 112041.923035 90450.084726
2014 11 30 11 59 00 88074.725885 107974.028811 112042.356425 90450.551715
2014 12 04 11 59 00 88074.496072 107973.835167 112041.945584 90450.212515
2014 12 05 11 59 00 88074.385011 107973.697929 112041.773878 90450.093257
2014 12 06 11 59 00 88074.110323 107973.793457 112041.758252 90450.272196
2014 12 07 11 59 00 88074.315479 107973.795115 112042.007000 90450.131366
2014 12 08 11 59 00 88074.403253 107973.718048 112041.924439 90450.067419
2014 12 09 11 59 00 88074.658743 107973.732579 112041.933112 90450.238751
2014 12 12 11 59 00 88074.237550 107973.828921 112041.865386 90450.311245
2014 12 13 11 59 00 88074.564788 107973.932586 112041.933714 90450.504433
2014 12 14 11 59 00 88074.332014 107973.925928 112042.071646 90450.335221
2014 12 21 11 59 00 88074.457176 107973.777716 112041.880361 90450.213362
2014 12 22 11 59 00 88074.182631 107973.890030 112041.927286 90450.290913
2014 12 23 11 59 00 88074.208918 107973.821030 112042.024363 90450.074334
2014 12 24 11 59 00 88074.125537 107973.482507 112041.791701 90450.079377
2014 12 25 11 59 00 88074.291990 107973.799819 112041.908594 90450.347471
2014 12 26 11 59 00 88074.102228 107973.923898 112041.853378 90450.503157
2014 12 27 11 59 00 88074.489006 107973.675810 112041.991718 90450.132187
